1 1.94477
2 1.93965
3 2.0946
4 2.50227
5 3.1736
6 4.23569
7 5.3953
8 5.7887
9 5.84566
10 5.72172
11 5.41317
12 4.99676
13 4.44457
14 3.46401
15 3.01729
16 1.95838
17 2.13052
18 4.78552
19 4.63689
20 3.15175
21 4.42959
22 4.64894
23 3.87533
24 4.65351
25 7.71176
26 9.56145
27 11.2296
28 14.0222
29 17.2438
30 19.301
31 17.5527
32 10.3026
33 4.64737
34 9.24059
1 1.94477
2 1.93965
3 2.0946
4 2.50227
5 3.1736
6 4.23569
7 5.3953
8 5.7887
9 5.84566
10 5.72172
11 5.41317
12 4.99676
13 4.44457
14 3.46401
15 3.01729
16 1.95838
17 2.13052
18 4.78552
19 4.63689
20 3.15175
21 4.42959
22 4.64894
23 3.87533
24 4.65351
25 7.71176
26 9.56145
27 11.2296
28 14.0222
29 17.2438
30 19.301
31 17.5527
32 10.3026
33 4.64737
34 9.24059
1 1.94477
2 1.93965
3 2.0946
4 2.50227
5 3.1736
6 4.23569
7 5.3953
8 5.7887
9 5.84566
10 5.72172
11 5.41317
12 4.99676
13 4.44457
14 3.46401
15 3.01729
16 1.95838
17 2.13052
18 4.78552
19 4.63689
20 3.15175
21 4.42959
22 4.64894
23 3.87533
24 4.65351
25 7.71176
26 9.56145
27 11.2296
28 14.0222
29 17.2438
30 19.301
31 17.5527
32 10.3026
33 4.64737
34 9.24059
