PAGASA 14.6452 121.0442
980126	8.1834	125.148
980127	8.485	123.8076
980128	8.1523	123.8488
980129	7.8228	123.4382
980131	8.0666	123.731
980132	7.9308	125.098
980133	7.4	122.3
980134	8.1817	126.3621
980135	8.9534	125.5292
980137	8.6382	123.4145
980138	6.7438	125.3569
980139	7.0051	125.0548
980141	6.4797	124.8656
980142	6.7051	121.9712
980143	12.0397	123.1918
980144	9.7917	125.4931
980145	7.42	125.825
980146	6.6936	124.6762
980147	6.1469	125.1072
980148	7.3	125.5
980149	7.1893	125.4519
980151	13.7555	121.0584
980152	13.3795	121.1836
980153	13.4193	123.4132
980154	13.14141	123.76
980155	13.2399	123.536
980156	13.9468	121.5894
980157	9.5987	123.0206
980158	9.3679	122.8138
980159	12.3717	123.6222
980161	13.3594	123.7309
980162	17.1661	120.4413
980163	14.0992	120.9395
980164	15.7131	120.9039
980165	17.6508	121.7544
980166	14.4617	120.9599
980167	14.0684	121.3237
980168	14.1935	121.1603
980169	14.2773	121.1233
980171	14.3266	120.9363
980172	14.4293	120.9366
980173	14.3144	121.1139
980174	14.0812	121.1524
980175	14.6782	120.5198
980176	14.2811	120.8697
980177	14.4832	120.9088
980178	14.3146	121.0795
980179	13.9288	121.6142
980181	6.0531	121.0097
980182	12.0664	124.5947
980183	10.2927	123.9019
980184	9.2916	123.2625
980185	10.3164	123.9652
980186	10.1319	124.8383
980189	9.6546	123.866
980191	10.2541	123.8277
980192	10.3798	123.6585
980193	9.7861	118.7344
980194	10.3271	123.9433
980195	10.9562	123.3107
980196	10.3862	123.2166
980197	10.8	123.5
980198	11.1174	122.6464
980199	10.099	122.8715
980201	10.0043	122.8062
980202	10.4266	122.9214
980203	10.8766	123.408
980204	10.512	123.2781
980205	10.8023	122.9725
980206	9.7689	122.4323
980207	10.7478	122.9793
980208	9.5159	123.1564
980209	10.8931	123.0474
980211	10.519	124.0269
980212	10.6937	122.572
980221	14.7189	120.2666
980224	14.1919	120.602
980225	9.5112	123.1204
980226	15.3887	121.3913
980301	14.0886	121.0072
980303	14.5992	120.9653
980304	15.0292	120.6781
980305	14.725	121.0433
980306	17.0054	120.9222
980309	14.5438	120.9949
980311	11.925	121.9519
980312	16.8279	121.453
980315	14.5779	121.0338
